__time,joint1_position,joint2_position,joint3_position,joint4_position,joint5_position,joint6_position
1664545413.19002,-0.947404,1.894474,0.411616,1.843845,-0.972544,-2.202796
1664545413.21,-0.941606,1.893885,0.412589,1.837709,-0.960272,-2.192059
1664545413.23046,-0.935384,1.893302,0.413625,1.830039,-0.946466,-2.181321
1664545413.25048,-0.928883,1.892757,0.414701,1.823903,-0.93266,-2.169049
1664545413.27063,-0.92207,1.892149,0.415851,1.816233,-0.918855,-2.156777
1664545413.29072,-0.914958,1.891523,0.416906,1.808563,-0.903515,-2.146039
1664545413.31043,-0.907494,1.890802,0.418056,1.802428,-0.888175,-2.132233
1664545413.33016,-0.899843,1.890132,0.419215,1.794758,-0.872835,-2.118428
1664545413.35067,-0.891975,1.889418,0.420375,1.787088,-0.857495,-2.106156
1664545413.37013,-0.8839,1.888628,0.421617,1.779418,-0.843689,-2.09235
1664545413.39035,-0.875628,1.887883,0.422828,1.771748,-0.825282,-2.078544
1664545413.41045,-0.86718,1.887162,0.424102,1.762544,-0.808408,-2.064738
1664545413.43067,-0.858649,1.886373,0.425323,1.754874,-0.791534,-2.049398
1664545413.45109,-0.849912,1.885546,0.426648,1.747204,-0.77466,-2.035593
1664545413.47057,-0.841091,1.884713,0.427963,1.738,-0.756253,-2.021787
1664545413.49058,-0.832105,1.883848,0.429319,1.728796,-0.737845,-2.006447
1664545413.51061,-0.822818,1.883034,0.430769,1.719592,-0.719437,-1.989573
1664545413.53104,-0.813242,1.882169,0.432239,1.710389,-0.701029,-1.974233
1664545413.55096,-0.803158,1.881285,0.43374,1.701185,-0.682621,-1.95736
1664545413.57061,-0.792712,1.880415,0.435303,1.693515,-0.66268,-1.94202
1664545413.59079,-0.781935,1.879475,0.436856,1.684311,-0.644272,-1.925146
1664545413.61063,-0.77092,1.878529,0.43842,1.673573,-0.622796,-1.908272
1664545413.63034,-0.760246,1.877558,0.439993,1.662835,-0.602854,-1.891398
1664545413.65098,-0.74833,1.876549,0.44165,1.652097,-0.581379,-1.874525
1664545413.67045,-0.737387,1.875553,0.443368,1.642893,-0.561437,-1.857651
1664545413.69042,-0.72514,1.874481,0.445097,1.632156,-0.539961,-1.839243
